2020-10-28 09:57:44,708 [background-preinit] INFO   o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2020-10-28 09:57:44,723 [restartedMain] INFO   c.j.m.MeetingRoomBookingSystemApplication - Starting MeetingRoomBookingSystemApplication on DESKTOP-40A7GOP with PID 12200 (D:\MyProjects\mrbs\sourcecodes\mrbs-backend\target\classes started by jwswe in D:\MyProjects\mrbs\sourcecodes\mrbs-backend)
2020-10-28 09:57:44,724 [restartedMain] DEBUG  c.j.m.MeetingRoomBookingSystemApplication - Running with Spring Boot v2.3.3.RELEASE, Spring v5.2.8.RELEASE
2020-10-28 09:57:44,724 [restartedMain] INFO   c.j.m.MeetingRoomBookingSystemApplication - The following profiles are active: dev
2020-10-28 09:57:44,753 [restartedMain] INFO   o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-10-28 09:57:44,753 [restartedMain] INFO   o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-10-28 09:57:45,232 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-10-28 09:57:45,311 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 74ms. Found 7 JPA repository interfaces.
2020-10-28 09:57:45,578 [restartedMain] INFO   o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@21f6bb96' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-10-28 09:57:45,587 [restartedMain] INFO   o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-10-28 09:57:45,863 [restartedMain] INFO   o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-10-28 09:57:45,868 [restartedMain] INFO   o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-10-28 09:57:45,868 [restartedMain] INFO   o.a.catalina.core.StandardService - Starting service [Tomcat]
2020-10-28 09:57:45,868 [restartedMain] INFO   o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-10-28 09:57:45,870 [restartedMain] INFO   o.a.c.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.24] using APR version [1.7.0].
2020-10-28 09:57:45,870 [restartedMain] INFO   o.a.c.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-10-28 09:57:45,870 [restartedMain] INFO   o.a.c.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-10-28 09:57:45,872 [restartedMain] INFO   o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2020-10-28 09:57:45,969 [restartedMain] INFO   o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-10-28 09:57:45,969 [restartedMain] INFO   o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1216 ms
2020-10-28 09:57:46,090 [restartedMain] INFO   o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-10-28 09:57:46,133 [task-1] INFO   o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-10-28 09:57:46,138 [restartedMain] INFO   o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static org.springframework.context.ApplicationContext com.jiangwensi.mrbs.AppContext.context
2020-10-28 09:57:46,138 [restartedMain] DEBUG  com.jiangwensi.mrbs.AppContext - setApplicationContext is called
2020-10-28 09:57:46,162 [task-1] INFO   org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.20.Final
2020-10-28 09:57:46,215 [restartedMain] WARN   o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-10-28 09:57:46,247 [task-1] INFO   o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-10-28 09:57:46,308 [task-1] INFO   com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-10-28 09:57:46,477 [restartedMain] DEBUG  o.s.s.w.a.e.ExpressionBasedFilterInvocationSecurityMetadataSource - Adding web access control expression 'permitAll', for Ant [pattern='/auth/signUp', POST]
2020-10-28 09:57:46,478 [restartedMain] DEBUG  o.s.s.w.a.e.ExpressionBasedFilterInvocationSecurityMetadataSource - Adding web access control expression 'permitAll', for Ant [pattern='/auth/verifyEmail', GET]
2020-10-28 09:57:46,478 [restartedMain] DEBUG  o.s.s.w.a.e.ExpressionBasedFilterInvocationSecurityMetadataSource - Adding web access control expression 'permitAll', for Ant [pattern='/auth/requestResetForgottenPassword', POST]
2020-10-28 09:57:46,478 [restartedMain] DEBUG  o.s.s.w.a.e.ExpressionBasedFilterInvocationSecurityMetadataSource - Adding web access control expression 'permitAll', for Ant [pattern='/auth/resetForgottenPassword', POST]
2020-10-28 09:57:46,478 [restartedMain] DEBUG  o.s.s.w.a.e.ExpressionBasedFilterInvocationSecurityMetadataSource - Adding web access control expression 'permitAll', for Ant [pattern='/auth/resetPassword', POST]
2020-10-28 09:57:46,478 [restartedMain] DEBUG  o.s.s.w.a.e.ExpressionBasedFilterInvocationSecurityMetadataSource - Adding web access control expression 'authenticated', for any request
2020-10-28 09:57:46,482 [restartedMain] DEBUG  o.s.s.w.a.i.FilterSecurityInterceptor - Validated configuration attributes
2020-10-28 09:57:46,482 [restartedMain] DEBUG  o.s.s.w.a.i.FilterSecurityInterceptor - Validated configuration attributes
2020-10-28 09:57:46,485 [restartedMain] INFO   o.s.s.w.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@24235b81, org.springframework.security.web.context.SecurityContextPersistenceFilter@2ed1a5ed, org.springframework.security.web.header.HeaderWriterFilter@7845eab4, org.springframework.web.filter.CorsFilter@74f4ce22, org.springframework.security.web.authentication.logout.LogoutFilter@1f19f286, com.jiangwensi.mrbs.security.LoginAuthenticationFilter@23ade79c, com.jiangwensi.mrbs.security.JwtAuthenticationFilter@5e0ff26b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@503f5970, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2e901d97, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@604e5578, org.springframework.security.web.session.SessionManagementFilter@3607f9f4, org.springframework.security.web.access.ExceptionTranslationFilter@6f20c5ff, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2fab1188]
2020-10-28 09:57:46,494 [restartedMain] DEBUG  o.s.s.a.i.a.MethodSecurityInterceptor - Validated configuration attributes
2020-10-28 09:57:46,900 [restartedMain] INFO   o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-10-28 09:57:46,914 [restartedMain] DEBUG  o.s.s.c.a.a.c.AuthenticationConfiguration$EnableGlobalAuthenticationAutowiredConfigurer - Eagerly initializing {webSecurityConfigurator=com.jiangwensi.mrbs.security.WebSecurityConfigurator$$EnhancerBySpringCGLIB$$c02dbbf5@7d56de37}
2020-10-28 09:57:46,922 [restartedMain] INFO   o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-10-28 09:57:46,936 [restartedMain] INFO   o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-10-28 09:57:46,937 [restartedMain] INFO   o.s.d.r.c.DeferredRepositoryInitializationListener - Triggering deferred initialization of Spring Data repositories…
2020-10-28 09:57:46,972 [task-1] INFO   com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-10-28 09:57:46,981 [task-1] INFO   org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2020-10-28 09:57:47,587 [task-1] INFO   o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-10-28 09:57:47,592 [task-1] INFO   o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-10-28 09:57:47,899 [restartedMain] INFO   o.s.d.r.c.DeferredRepositoryInitializationListener - Spring Data repositories initialized!
2020-10-28 09:57:47,906 [restartedMain] INFO   c.j.m.MeetingRoomBookingSystemApplication - Started MeetingRoomBookingSystemApplication in 3.463 seconds (JVM running for 4.571)
2020-10-28 09:57:47,908 [restartedMain] DEBUG  c.j.mrbs.InitializeApplicationData - onApplicationEvent is called
2020-10-28 09:57:57,504 [http-nio-8080-exec-1] INFO   o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-10-28 09:57:57,504 [http-nio-8080-exec-1] INFO   o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-10-28 09:57:57,510 [http-nio-8080-exec-1] INFO   o.s.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2020-10-28 09:57:57,517 [http-nio-8080-exec-1] DEBUG  o.s.security.web.FilterChainProxy - /auth/requestResetForgottenPassword at position 1 of 13 in additional filter chain; firing Filter: 'WebAsyncManagerIntegrationFilter'
2020-10-28 09:57:57,519 [http-nio-8080-exec-1] DEBUG  o.s.security.web.FilterChainProxy - /auth/requestResetForgottenPassword at position 2 of 13 in additional filter chain; firing Filter: 'SecurityContextPersistenceFilter'
2020-10-28 09:57:57,520 [http-nio-8080-exec-1] DEBUG  o.s.security.web.FilterChainProxy - /auth/requestResetForgottenPassword at position 3 of 13 in additional filter chain; firing Filter: 'HeaderWriterFilter'
2020-10-28 09:57:57,521 [http-nio-8080-exec-1] DEBUG  o.s.security.web.FilterChainProxy - /auth/requestResetForgottenPassword at position 4 of 13 in additional filter chain; firing Filter: 'CorsFilter'
2020-10-28 09:57:57,527 [http-nio-8080-exec-1] DEBUG  o.s.security.web.FilterChainProxy - /auth/requestResetForgottenPassword at position 5 of 13 in additional filter chain; firing Filter: 'LogoutFilter'
2020-10-28 09:57:57,527 [http-nio-8080-exec-1] DEBUG  o.s.s.w.u.matcher.OrRequestMatcher - Trying to match using Ant [pattern='/logout', GET]
2020-10-28 09:57:57,528 [http-nio-8080-exec-1] DEBUG  o.s.s.w.u.m.AntPathRequestMatcher - Request 'POST /auth/requestResetForgottenPassword' doesn't match 'GET /logout'
2020-10-28 09:57:57,528 [http-nio-8080-exec-1] DEBUG  o.s.s.w.u.matcher.OrRequestMatcher - Trying to match using Ant [pattern='/logout', POST]
2020-10-28 09:57:57,528 [http-nio-8080-exec-1] DEBUG  o.s.s.w.u.m.AntPathRequestMatcher - Checking match of request : '/auth/requestResetForgottenPassword'; against '/logout'
2020-10-28 09:57:57,528 [http-nio-8080-exec-1] DEBUG  o.s.s.w.u.matcher.OrRequestMatcher - Trying to match using Ant [pattern='/logout', PUT]
2020-10-28 09:57:57,528 [http-nio-8080-exec-1] DEBUG  o.s.s.w.u.m.AntPathRequestMatcher - Request 'POST /auth/requestResetForgottenPassword' doesn't match 'PUT /logout'
2020-10-28 09:57:57,528 [http-nio-8080-exec-1] DEBUG  o.s.s.w.u.matcher.OrRequestMatcher - Trying to match using Ant [pattern='/logout', DELETE]
2020-10-28 09:57:57,528 [http-nio-8080-exec-1] DEBUG  o.s.s.w.u.m.AntPathRequestMatcher - Request 'POST /auth/requestResetForgottenPassword' doesn't match 'DELETE /logout'
2020-10-28 09:57:57,528 [http-nio-8080-exec-1] DEBUG  o.s.s.w.u.matcher.OrRequestMatcher - No matches found
2020-10-28 09:57:57,528 [http-nio-8080-exec-1] DEBUG  o.s.security.web.FilterChainProxy - /auth/requestResetForgottenPassword at position 6 of 13 in additional filter chain; firing Filter: 'LoginAuthenticationFilter'
2020-10-28 09:57:57,528 [http-nio-8080-exec-1] DEBUG  o.s.s.w.u.m.AntPathRequestMatcher - Checking match of request : '/auth/requestResetForgottenPassword'; against '/login'
2020-10-28 09:57:57,528 [http-nio-8080-exec-1] DEBUG  o.s.security.web.FilterChainProxy - /auth/requestResetForgottenPassword at position 7 of 13 in additional filter chain; firing Filter: 'JwtAuthenticationFilter'
2020-10-28 09:57:57,528 [http-nio-8080-exec-1] DEBUG  o.s.security.web.FilterChainProxy - /auth/requestResetForgottenPassword at position 8 of 13 in additional filter chain; firing Filter: 'RequestCacheAwareFilter'
2020-10-28 09:57:57,528 [http-nio-8080-exec-1] DEBUG  o.s.security.web.FilterChainProxy - /auth/requestResetForgottenPassword at position 9 of 13 in additional filter chain; firing Filter: 'SecurityContextHolderAwareRequestFilter'
2020-10-28 09:57:57,529 [http-nio-8080-exec-1] DEBUG  o.s.security.web.FilterChainProxy - /auth/requestResetForgottenPassword at position 10 of 13 in additional filter chain; firing Filter: 'AnonymousAuthenticationFilter'
2020-10-28 09:57:57,529 [http-nio-8080-exec-1] DEBUG  o.s.s.w.a.AnonymousAuthenticationFilter - Populated SecurityContextHolder with anonymous token: 'org.springframework.security.authentication.AnonymousAuthenticationToken@3cae4637: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Granted Authorities: ROLE_ANONYMOUS'
2020-10-28 09:57:57,529 [http-nio-8080-exec-1] DEBUG  o.s.security.web.FilterChainProxy - /auth/requestResetForgottenPassword at position 11 of 13 in additional filter chain; firing Filter: 'SessionManagementFilter'
2020-10-28 09:57:57,530 [http-nio-8080-exec-1] DEBUG  o.s.security.web.FilterChainProxy - /auth/requestResetForgottenPassword at position 12 of 13 in additional filter chain; firing Filter: 'ExceptionTranslationFilter'
2020-10-28 09:57:57,530 [http-nio-8080-exec-1] DEBUG  o.s.security.web.FilterChainProxy - /auth/requestResetForgottenPassword at position 13 of 13 in additional filter chain; firing Filter: 'FilterSecurityInterceptor'
2020-10-28 09:57:57,530 [http-nio-8080-exec-1] DEBUG  o.s.s.w.u.m.AntPathRequestMatcher - Checking match of request : '/auth/requestResetForgottenPassword'; against '/auth/signUp'
2020-10-28 09:57:57,530 [http-nio-8080-exec-1] DEBUG  o.s.s.w.u.m.AntPathRequestMatcher - Request 'POST /auth/requestResetForgottenPassword' doesn't match 'GET /auth/verifyEmail'
2020-10-28 09:57:57,530 [http-nio-8080-exec-1] DEBUG  o.s.s.w.u.m.AntPathRequestMatcher - Checking match of request : '/auth/requestResetForgottenPassword'; against '/auth/requestResetForgottenPassword'
2020-10-28 09:57:57,530 [http-nio-8080-exec-1] DEBUG  o.s.s.w.a.i.FilterSecurityInterceptor - Secure object: FilterInvocation: URL: /auth/requestResetForgottenPassword; Attributes: [permitAll]
2020-10-28 09:57:57,530 [http-nio-8080-exec-1] DEBUG  o.s.s.w.a.i.FilterSecurityInterceptor - Previously Authenticated: org.springframework.security.authentication.AnonymousAuthenticationToken@3cae4637: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@b364: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: null; Granted Authorities: ROLE_ANONYMOUS
2020-10-28 09:57:57,533 [http-nio-8080-exec-1] DEBUG  o.s.s.access.vote.AffirmativeBased - Voter: org.springframework.security.web.access.expression.WebExpressionVoter@af3642d, returned: 1
2020-10-28 09:57:57,533 [http-nio-8080-exec-1] DEBUG  o.s.s.w.a.i.FilterSecurityInterceptor - Authorization successful
2020-10-28 09:57:57,533 [http-nio-8080-exec-1] DEBUG  o.s.s.w.a.i.FilterSecurityInterceptor - RunAsManager did not change Authentication object
2020-10-28 09:57:57,533 [http-nio-8080-exec-1] DEBUG  o.s.security.web.FilterChainProxy - /auth/requestResetForgottenPassword reached end of additional filter chain; proceeding with original chain
2020-10-28 09:57:57,590 [http-nio-8080-exec-1] INFO   com.jiangwensi.mrbs.utils.LogAspect - Before:com.jiangwensi.mrbs.controller.AuthController
2020-10-28 09:57:57,591 [http-nio-8080-exec-1] INFO   com.jiangwensi.mrbs.utils.LogAspect - [RequestResetForgottenPasswordRequest{email='jiangwensi@hotmail.com', returnUrl='http://localhost:3000/resetForgottenPassword'}]
2020-10-28 09:57:57,774 [http-nio-8080-exec-1] DEBUG  o.s.s.w.h.writers.HstsHeaderWriter - Not injecting HSTS header since it did not match the requestMatcher org.springframework.security.web.header.writers.HstsHeaderWriter$SecureRequestMatcher@3b62f199
2020-10-28 09:57:57,778 [http-nio-8080-exec-1] DEBUG  o.s.s.w.a.ExceptionTranslationFilter - Chain processed normally
2020-10-28 09:57:57,778 [http-nio-8080-exec-1] DEBUG  o.s.s.w.c.SecurityContextPersistenceFilter - SecurityContextHolder now cleared, as request processing completed
